filename,raw_url,yahoo_image_url,title
プログラミング_21,https://www.pasonacareer.jp/ib40/column/geek180802/,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGz16PiXta5c3DTalPOnY5FC4B74Z0X4YhuYXEFVnT8J3dYvoGSoEZshjYbxTPlJS5AphKBJyuwtZSsFyB4xz7rHtGT8UWRUFGszMrw7TYvY4wL-ikhU7O_mESwnaakKkPR3IhQmO3rKRv_GkkCHDmOnkgi0nnFxcbkfjmF4CRXVw-bReHSTaLFnnAehXCOedFSCHhb5mUFm48tr33hPVwYmOx30Fdw2yJixgC5eh3UgMjBBSva49GOyy8gqnSXM2Hlxo9GdzNlmSFvpib3ht_39WBhYR-kakwv6tXhUZOSSNL6_-q_j_Il6wljVgYr7oraySVbVzs2rDkg5VaFE79kkHn4UwX481dFy9iaBACGraLBwaqODNEP7y1hIxi0l0OnD1thnPycfpZAqoxX38fiI=/04.png,自分の子どもに「プログラミングってどうすればいいの？」と聞かれたら ...
プログラミング_22,https://www.itmedia.co.jp/news/articles/2009/18/news081.html,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG3FisvduuMUvYIJApvy0wL54upRZLyWZ6URNq1KhIA67cHj_Mdh5M_Io70dVuXzRe60vc25nQ_PHeRRQ76JnIYvv3pvyJcLOnIXKnMq8sW45o8LKF6AjTRFPEJVogbdhDv4mxuUZYmlqg83lCUvBzGt3ZThxQVSSX3ufNQ7XrTK6P9BRdGb6MY4vF0HYTZemqqxnhf2_Y3tVoymeoepWmU9f77L7Azp20lqym3DHpSa0KVBihnEx59jIYmloIn8JDtU5-iaM1fMWmH1JaRXZ54A=/mt1626333_NDSK-02.jpg,日本語プログラミング言語「なでしこ」、中学の教材に - ITmedia NEWS
プログラミング_23,https://programmingkids.net/information/1780,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG-jokfgx1swJ6pFY3toFdKF_HVBIBPHU7MQkJwAB4Wq58xPhvOOa8YokQ0h9FkFsJh-A-TgbOJ8aTRfTzc0ZzvUnSFG7uhF-EJVF7l-3o23c4TpAEmnqxIaIo56rFyliOs8lBV97Sf9hWzkUrnw0QBahcC1KAZX6XJPpTppXY__GDP0A9T_qO2D4BVI35_Ljsdn5-tijhvRY18nvB4dPicbFQ7VpIj2Y9SWrlY3XHCbgxZWsudxKlZhTX54ti0aWimgjRw-_hpBzwzqP3QtCg88U0EG80NKeHGlpMmkhC6Pe/mental-2470926-293x300.jpg,厳選】はじめてプログラミングを行う中学生・高校生へ！おすすめの ...
プログラミング_24,https://www.youtube.com/watch?v=BAGpSAE8QAU,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGxuQACxqi0fkbGNWy3I1FNXYY73FcGIC2uuEWbxL5Fp7QbM-2cA-2MCOSqNK8nDe6TMwqx4j6JcYDIcqw_MaPg6u29AZ03Swm8z4wLRNpxe4DZhyb9nH9M4Fkte9iWk5hX6t2ZL4kOR3t36OnM_zc13PYy4S92kuncvK6LB6gbxQMD6n2U8E_qBlNa1T2KmNC7kXbB1_HqnEiRNBf2DubfMPtuExNYuiJ7KcwGWSciqF9YDOB6c2a-Hqv-4fKc71sg==/maxresdefault.jpg,プログラミングは誰でもできる！？ホリエモンがプログラミングの基本を ...
プログラミング_25,https://www.amazon.co.jp/%E7%8B%AC%E5%AD%A6%E3%81%A7%E8%BA%AB%E3%81%AB%E3%81%A4%E3%81%91%E3%82%8B%E3%81%9F%E3%82%81%E3%81%AE%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0%E5%AD%A6%E7%BF%92%E8%A1%93-Ver-4-%E5%8C%97%E6%9D%91%E6%8B%93%E4%B9%9F-ebook/dp/B07M5Q7Z3X,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2E-Sg2-7FDTZANwvnBP0L8fCu8JH5BxSVL3lAhv-slsc6sn82639n4f0aDyFP0z2VP0hhOKE0WV02xp8COfSD8pG5KoyrMAI7gVWIkYk5LOlc7mt3ODI6AwMJ4Aoiv-l1hVdNPn8GJF1JZ-hY_3KcjWfz_tHl9JCTQXpQIsHA4eqJfbiUwQzN5ModCJi8qjisBXFi1c-mUZzs_o3xxByziUik58pnZAb8DMcTR-r81HjPT6R0qFMrW8bMELt_zBQA==/516ILPoCRiL.jpg,独学で身につけるためのプログラミング学習術: Ver.5 | 北村拓也 ...
プログラミング_26,https://techplay.jp/event/801105,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8Yt1YyfdZIXpE9z2dBX8defbzcC8SW4jkFEJ2iM7v63ydh3mtDDuj_iHZYXv_szkHSX9H0Nahb1jzTT7R3zaNCgfEw0l2G4fCbQTD4HdtYpF_AF96ofvQ0l4H4m8hxE4K7b0BnTdLCbzPjAtE2nF7gNmHJv2cf0zgWS172JaTmFfq3ZkviQ5He3fo6cz_NzXauXqM1eHr0hov4Y70yxvdSGwKlRRa78trqeIv9ccT0FLi4lpfW-6bFHxd1568pFGfIhNnMY1nAErUbruujsEAAU0EG80NKeHGlpMmkhC6Pe/715098dbe28e6cd491872c0c360f8e5190540adc.jpeg,初心者の方のためのWEBプログラミング体験講座｜IT勉強会ならTECH PLAY ...
プログラミング_27,https://tech-camp.in/note/technology/226/,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGxiw-Tbq3nt4hl1-Q-TVZoODEpE4z_s1xPwXVje0FrFY8xPhvOOa8YokQ0h9FkFsJsdkiNHdAZP03VuWDI7IPlO95JzEW592GeaBqgNBmTQdc28F73kYMQfbA14P9fD5TA-o5zmnml_OR-bm6_whgO6wxOO_3a34qT4WQ74oIvf2LpvuF2dTXsEx5onDV_Q5VOOxWl-keef6xtYVxZyQgMIJkuWBJNsJEdYUSBD5L2_I4e-mGTOIapuge1Crwmfl6jpGkNtUDziLkZ8U3tzh-Me3NPWXoUN4NCqNQ2uvfMnTU_SGE4oTRZXTbGnwI59IPykbkqjKswAjuBVYiRiTks6Vzua3c4MjoDAwngCiK_6XWFV00-fwYkXUln6Fj_cpyCU2YL0gAfueP9XPeYa3K2ystWRpoTJyREG5tOuhUYzB9zvc0Rkr8cQRL8wehkg3Bcx63jc0gYQFzkA5Gh7sspT1gM4HpzZr4eq_7h8pzvWy/E382B9E382AFE383AAE383BCE383B3E382B7E383A7E38383E38388-2021-01-26-17.17.35-1024x397.jpg,プログラミングとは何か？を世界一わかりやすく解説 | テックキャンプ ...
プログラミング_28,https://blog.codecamp.jp/programming_english,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2ZbYGCyLpR5USnqNmgnrubG2eS9ra12f_cClqxFaU7sMNf8ORNy0u0XHjK8-zSTk50_d6y5K5nCwBm5-1CFSJmb69QLS5rr-6JMDp12mdj5wrmuuG_AIgka-2fC1UpTQuNp5Tvy8XFA-aA_Q6SXSi60qeaHdT4k5p0Lfut2J8DV-QnTsSQmxyxkEmw4jAz1LADUvShlgE-rZtIhTc0QU2IyZnNEdiOtYSGUogUc1FfvMro5GnM9_s4WkPjSf8zf7MtHIBNcBJSWnjXMENmNoOT35BUeQx5wcXxBWaz8OJcuPrVvl87zL8_HmzJ6lEi2ZLjGM7uNgdeeVXLJEnoQagcQW9TQAPpuMB4eMXh_Cp_W8o6zQcPYl1uIAxkvjQDVUg==/1c25d2dc08dee3db6ace8c6cb5e1ee7a5b069790.33678.desktop.jpg,プログラミングに英語は必要なのか決着をつけようと思う | CodeCampus
プログラミング_29,https://www.huffingtonpost.jp/techcrunch-japan/program_study_b_10014552.html,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG-k-1_c5wXRAf5ccEUdvFsoOw2xaTCw7jfiCqaEsfcvX-aLE5drUXhODZybHxyYALSNNLk3RvYxwR1Vy3sn3SLuCVxmFFdGaTdEaIW01ytZxXT_v6m_b84x1XolhUUh4yfF6SRVIsJ_NbxYiLv_-eMn-jO3iN4wLtyHYDxKaqgBiTiurRrSMZew9xAniFKagn3s3dayHIEhnZSuj5ftsZttNAMSGI07uKEb4G1LVKosBI94uUSEwEACsFtps9H3CypfvDwQcIY9ryAmP2U9jyC65HAOmTDoUWDvHQoo-KlI-/5c63485e2400007002a1fe45.jpeg,頼むからプログラミングを学ばないでくれ | ハフポスト
プログラミング_30,https://haa.athuman.com/media/it/programming/1349/,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGx70uVh6JrKTLc2lrUMLjHUdv8gk3zdTRMLrYz1PLd-SD_nsWftuFF_fAP17pbTI2CSMT9O_x1fkvkkkDK1XbdghQMDIny4d3sEFFesQ6VF9DGeu-qr0_hg0NK8x9bkFTUaVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd2uUbfhlpq2R2uQ71lGKIjeJgqljdURJD7PBcjQe1CXEQqyL3Nd7V9d6MwDvEpjFwdueT47WjUt94ggruX4HxKc/tech12-23.png,プログラミング初心者は何から始めるべき？成長へのステップを解説 ...
